% Model:              3channel3D.mph
% Version:            COMSOL 5.3.0.316
% Date:               Mar 1 2023, 16:57
% Dimension:          3
% Nodes:              11626
% Expressions:        4
% Description:        Velocity field, x component, Velocity field, y component, Velocity field, z component, Pressure
% Length unit:        m
% X                       Y                        Z                        u (m/s) @ t=10           v (m/s) @ t=10           w (m/s) @ t=10           p (Pa) @ t=10
0.0773615                 0.0852259                0.0849008                -5.80165646645129E-4     3.0126549676495106E-4    2.7058926633193275E-4    13.218389947338775
0.0386808                 0.0959962                0.109958                 -1.7685337625276227E-4   2.44739481835345E-4      2.258783982556251E-4     13.218467251237119
0                         0.0564746                0.166596                 0                        0                        0                        13.218564176255608
0.056987                  0                        0.17128                  0                        0                        0                        13.218255230725287
0                         0                        0.2                      -1.8776913194823844E-19  9.188923340064585E-20    2.0594437954655693E-19   13.218445543401396
0.0672179                 0.0541081                0.129878                 -3.474565433786264E-4    9.261494213717385E-5     3.6102035207669433E-4    13.218344126360662
0.0469304                 0.0411727                0.166913                 -1.1463284376606553E-4   2.802082368372057E-5     3.5402581555555224E-4    13.218446802642047
0.0540307                 0.165875                 0                        0                        0                        0                        13.218356331816002
0.165831                  0                        0.0539335                0                        0                        0                        13.218181668448707
0.141413                  0.0355407                0.0763033                -6.139646926087752E-4    1.1802899214153482E-4    1.519764428467039E-4     13.218276060670533
0.2                       0                        0                        0                        0                        0                        13.218147462796457
0.233333                  0                        0.0579227                0                        0                        0                        13.21825651238596
0.175316                  0.0481586                0.0933095                -0.0015618509227622404   2.2684920772758575E-4    3.797123714623713E-4     13.21826484210093
0.103009                  0.0407623                0.16511                  -8.080814176952007E-4    1.9721713391676322E-4    6.320938444864466E-4     13.218210856916853
0.135078                  0                        0.107113                 0                        0                        0                        13.21819897188908
0.105397                  0                        0.153299                 0                        0                        0                        13.218167347669358
0.201035                  0                        0.109898                 0                        0                        0                        13.218179886499922
0.147749                  0.0710814                0.0454939                -8.900452281163153E-4    1.9764901760370988E-4    1.1032292090634974E-4    13.218275067470582
0.109477                  0.0962482                0.0306889                -3.81679876243283E-4     2.3012852926060742E-4    4.855051851740664E-5     13.218317368123458
0.171118                  0.056988                 0                        0                        0                        0                        13.218212242998494
0.107112                  0.135077                 0                        0                        0                        0                        13.218287094305856
0.153299                  0.105395                 0                        0                        0                        0                        13.218217982806006
0                         0                        0.266667                 0                        0                        0                        13.218121312287053
0                         0.152936                 0.105716                 0                        0                        0                        13.218690414525348
0.0368738                 0.0823454                0.162546                 -2.1823788601470808E-4   2.0952422693420767E-4    4.3860215781265017E-4    13.218541601076867
0                         0.106766                 0.135016                 0                        0                        0                        13.218778556638952
0                         0.0584017                0.234008                 0                        0                        0                        13.218436220206147
0                         0.113152                 0.201077                 0                        0                        0                        13.218807459351762
0.0579227                 0.233333                 0                        0                        0                        0                        13.218192472788619
0.0521955                 0.205712                 0.0434648                -2.789776631384882E-4    6.749335494023399E-4     8.66619578452204E-5      13.21836883408987
0.100024                  0.169161                 0.0340715                -6.711378180354731E-4    6.716409922001983E-4     1.3112831664408698E-4    13.218340226316803
0.0502495                 0.171983                 0.0434648                -1.642447720667684E-4    4.26216411443761E-4      3.978074464672635E-5     13.218429428935798
0                         0.266667                 0                        0                        0                        0                        13.218237324499233
0                         0.235188                 0.0573036                0                        0                        0                        13.21844848384427
0                         0.207654                 0.108887                 0                        0                        0                        13.218743989745006
0.0669422                 0.252404                 0.0408122                -3.931624493618805E-4    0.001064699697221615     1.3613967713850235E-4    13.218135057711564
0.0464683                 0.17809                  0.0869297                -4.1680702235237586E-4   8.854179607386052E-4     3.186579345592833E-4     13.218480685741206
0.0601079                 0.143153                 0.122713                 -8.148733441967266E-4    0.0010076176330233765    7.093227528270682E-4     13.218470924342823
0.0379809                 0.239564                 0.0952556                -3.150688270291299E-4    0.001315986488857054     4.7665912305394203E-4    13.218420099720847
0.0579227                 0                        0.3                      0                        0                        0                        13.21786464772854
0.0330348                 0.0355546                0.280654                 -7.746750461062901E-5    3.2266533141513095E-6    5.273677524091562E-4     13.218081447563277
0.0551658                 0                        0.234968                 0                        0                        0                        13.218147348640356
0.109874                  0.0754018                0.145083                 -0.0015325575731514928   5.41829390517071E-4      8.7645455927025E-4       13.218313167524265
