% Model:              doublePipe.mph
% Version:            COMSOL 5.3.0.316
% Date:               Mar 1 2023, 10:38
% Dimension:          2
% Nodes:              14976
% Expressions:        3
% Description:        Velocity field, x component, Velocity field, y component, Pressure
% Length unit:        m
% X                       Y                        u (m/s) @ t=10           v (m/s) @ t=10           p (Pa) @ t=10
1.29487                   0.807692                 0.4642673182404374       0.006968185682597548     0.12646169837355362
1.28846                   0.814103                 0.3570216386736166       0.004417552022593802     0.14519306244631824
1.28205                   0.820513                 0.24826798661270447      0.0023170205081690927    0.16634654856354059
1.27564                   0.826923                 0.12493342777936808      4.88938600485937E-4      0.1844576038659527
1.26923                   0.833333                 6.3631991132734984E-6    2.7422545098779573E-8    0.20467148660563472
1.33333                   0.75641                  0.9636693692823833       0.025065694553761786     0.010776308524835984
1.32692                   0.762821                 0.9325750859787462       0.021877806826983752     0.017469642375759147
1.32051                   0.769231                 0.8990174221776546       0.018758821211407366     0.03621802255626245
1.3141                    0.775641                 0.8464923361188155       0.01810173264785721      0.052808501127636416
1.30769                   0.782051                 0.7918334250271314       0.01688428782789911      0.07752831003714687
1.30128                   0.788462                 0.7186000456320559       0.014942514543987906     0.0965639212484212
1.29487                   0.794872                 0.6428173000790803       0.012614562934853276     0.1218112547206988
1.28846                   0.801282                 0.5515726530842554       0.01032106869497478      0.1409583531929925
1.28205                   0.807692                 0.45823475299775773      0.007693916390505902     0.1632125397047193
1.27564                   0.814103                 0.35168398187745065      0.004959459243296105     0.18059532867718905
1.26923                   0.820513                 0.24361948773190192      0.002513667845930781     0.20040697971659932
1.26282                   0.826923                 0.12237039815100065      5.274408514658933E-4     0.21779774890393933
1.25641                   0.833333                 6.21427776333602E-6      3.9656492728735915E-8    0.23686106857139644
1.33333                   0.74359                  0.9868236594554708       0.02295226967662449      0.00960709920261102
1.32692                   0.75                     0.9753394471532097       0.02273256715682282      0.0168293652339832
1.32051                   0.75641                  0.9615677825624439       0.021299506804227906     0.03513278961286731
1.3141                    0.762821                 0.9298011375830035       0.020781676911064712     0.05112695754374191
1.30769                   0.769231                 0.896308707907454        0.019989495613780228     0.07472052503111708
1.30128                   0.775641                 0.8433605101857335       0.018772230488747297     0.09232464958806078
1.29487                   0.782051                 0.7880165237013607       0.017236140355851106     0.11734645443345605
1.28846                   0.788462                 0.7139831064773717       0.015627926757580613     0.13579468476271506
1.28205                   0.794872                 0.6374481011226107       0.013530133849755944     0.15930305032776257
1.27564                   0.801282                 0.5457521956484391       0.011126606233218428     0.17699375189733632
1.26923                   0.807692                 0.45193244521603404      0.008337749664814214     0.19755201883864146
1.26282                   0.814103                 0.34591117144243977      0.005394961261388396     0.21390224423313176
1.25641                   0.820513                 0.2385607147170142       0.002747840214388742     0.2322431431489372
1.25                      0.826923                 0.1195737273251243       5.792547774560309E-4     0.24859528149944432
1.24359                   0.833333                 6.181479949943349E-6     4.1028938562617286E-8    0.26626444321916737
1.33333                   0.730769                 0.9709407329069983       0.019116417630912368     0.008637000790322964
1.32692                   0.737179                 0.9797278644441111       0.022563492071113758     0.013892422573127994
1.32051                   0.74359                  0.9856934413583747       0.022853218414554535     0.03234164499018617
1.3141                    0.75                     0.9735052737550701       0.02258143993113345      0.04863370880617182
1.30769                   0.75641                  0.9596649938909615       0.022058308557437647     0.07146820339674899
1.30128                   0.762821                 0.9277099058842698       0.02127268449484623      0.08877663221846561
1.29487                   0.769231                 0.8938412481283139       0.02031347103015818      0.11316239453102285
1.28846                   0.775641                 0.8402841677254052       0.019308532454334604     0.13058883487120163
1.28205                   0.782051                 0.7843607543936068       0.01798424887132966      0.15495930256868826
1.27564                   0.788462                 0.7095332323547032       0.016444906735582764     0.17205563146936487
1.26923                   0.794872                 0.6320709975787288       0.014325466513791855     0.19412220973619362
1.26282                   0.801282                 0.5397824911642962       0.011884918855867354     0.210450784231717
1.25641                   0.807692                 0.4452952159276879       0.00894136025717417      0.2294344196590045
1.25                      0.814103                 0.33976635953033013      0.005826897590116133     0.244609331415773
1.24359                   0.820513                 0.233094631056864        0.0029765720764549737    0.26125025541261315
1.23718                   0.826923                 0.1165453681102922       6.305152784064119E-4     0.2763604930973225
1.23077                   0.833333                 6.060286393592888E-6     3.278229693028766E-8     0.2923779992944743
1.33333                   0.717949                 0.9070260399652391       0.011499315578631594     0.006125866976026853
1.32692                   0.724359                 0.9412754642813497       0.02049232451125886      0.00769031911748398
1.32051                   0.730769                 0.9714185599353286       0.023148283396686623     0.027802090511260525
1.3141                    0.737179                 0.9791169421961184       0.023486615070762783     0.04448844516791731
1.30769                   0.74359                  0.9846190646708995       0.02341949890527061      0.06756494263388452
1.30128                   0.75                     0.9721290725998808       0.023047578514639365     0.08530651212676636
1.29487                   0.75641                  0.957879804159982        0.022412533664596848     0.10891920028780805
1.28846                   0.762821                 0.9256077917709631       0.0216937917986781       0.12631772146307177
1.28205                   0.769231                 0.8915036594892323       0.020858585668257552     0.1504545058775589
1.27564                   0.775641                 0.8374053286382211       0.01993720881186124      0.16697720090510493
