% Model:              3channel3D.mph
% Version:            COMSOL 5.3.0.316
% Date:               Mar 1 2023, 16:37
% Dimension:          3
% Nodes:              2069
% Expressions:        4
% Description:        Velocity field, x component, Velocity field, y component, Velocity field, z component, Pressure
% Length unit:        m
% X                       Y                        Z                        u (m/s) @ t=10           v (m/s) @ t=10           w (m/s) @ t=10           p (Pa) @ t=10
0.0628472                 0.159064                 0.560057                 -6.744117406291568E-4    0.007906976098239043     -0.0032510423838211055   16.834179185564224
0.0701604                 0.173964                 0.430341                 -0.0020631523762141865   0.011536701032041642     0.0026493850990875574    16.833187326208332
0.106719                  0.0801568                0.355555                 -0.0034349577045659314   0.002681550268337472     0.0027649520199095104    16.835046831458914
0.0867935                 0.0869818                0.434002                 -0.002609505892813336    0.0035251493903670507    0.0010705541265303845    16.83506844839578
0.103427                  0                        0.437663                 0                        0                        0                        16.83373518310303
0.207683                  0                        0.37934                  0                        0                        0                        16.833158949287615
0.300722                  0                        0.305038                 0                        0                        0                        16.834106255976057
0.204045                  0                        0.627801                 0                        0                        0                        16.83400784360327
0.16487                   0.0617515                0.57019                  -0.0039234212036538      0.0010273484592904728    -0.0019221674422100006   16.8350459073997
0.207581                  0                        0.506895                 0                        0                        0                        16.83285738496284
0.0880181                 0.301201                 0.185335                 -0.0050939446027416565   0.007815571977127227     0.00822676619147994      16.834984012736687
0.108148                  0.167668                 0.226376                 -0.004894117334649968    0.005847084549637195     0.005696190962474361     16.835920937115937
0.075033                  0.227417                 0.309088                 -0.004912956136534107    0.0133611329749042       0.008938644824023902     16.83316161664503
0.216296                  0.147699                 0.195319                 -0.01361738587051772     0.0046093157370486445    0.004377807458435568     16.835862203609768
0.126645                  0.0733317                0.277108                 -0.0032474309064866786   0.0015280139792851648    0.0030621423183062567    16.835307590867412
0.236708                  0.0735906                0.253196                 -0.00941010134870064     0.001555085214601268     0.0033965456875888643    16.835436208308636
0.216464                  0.0735906                0.345018                 -0.00875715727109207     0.0015912624776234293    0.0030348376607737637    16.834774983735493
0.140321                  0.146663                 0.367109                 -0.009433363858972647    0.009167705838552462     0.0062723373956736096    16.83410188553712
0.15014                   0.187299                 0.309892                 -0.012545475154153671    0.011692829973547604     0.008632912724568566     16.834786577698967
0.340915                  0.205456                 0.0752973                -0.014515825914281067    0.004536176173339582     0.001101563964857061     16.83629906173417
0.184026                  0.228588                 0.193112                 -0.015237977807106782    0.00922616244911256      0.0068053006572429756    16.835731080701706
0.382246                  0                        0.220752                 0                        0                        0                        16.8356115084348
0.346209                  0.0738494                0.237518                 -0.015873787449523894    0.00200233707836568      0.003654961102305371     16.83582874411984
0.374989                  0.126558                 0.127142                 -0.021764220012955797    0.0040767445215665       0.002186737676605531     16.83660925230383
0.293903                  0.210171                 0.150595                 -0.021589236496388112    0.00811655077334757      0.004532339421261416     16.835787947667633
0.354602                  0.18651                  0.194663                 -0.03047940854148382     0.008945382755608302     0.005776815541214082     16.836180301487495
0.310172                  0.147699                 0.254284                 -0.023960051472460903    0.0073281796557237       0.006539516954299808     16.835454333405146
0.75                      0                        0                        0                        0                        0                        16.862198273378535
0.679115                  0.097749                 0                        0                        0                        0                        16.85374357078761
0.671296                  0                        0.105621                 0                        0                        0                        16.8500203690526
0.552728                  0                        0.104906                 0                        0                        0                        16.839105405515213
0.592789                  0.103592                 0.0668213                -0.03315373835799539     0.0047772182395032095    0.003903107381832683     16.84233247607311
0.73112                   0.432788                 0.0278627                -0.0400667935951603      0.09967217892088691      -0.05630539830860235     16.598795499555905
0.759394                  0.422698                 0.0300909                -0.07395974645769962     0.12311970870095922      -0.06901922307655217     16.679557972802904
0.780176                  0.477431                 0.0247917                -0.33687727613945334     0.17709720925708966      -0.4508997825866025      15.99847925902118
0.757613                  0.46463                  0.0318943                -0.13324875699317776     0.26804986601951675      -0.30382304472203225     16.341008540164644
0.721419                  0.47943                  0.0274697                0.2564135035256533       0.2381543028402851       -0.5854282789554501      16.001689866470286
0.753176                  0.49443                  0.0292978                -0.03517392646154629     0.01789209862726449      -1.007986363614784       15.81980239727693
0.748738                  0.52423                  0.0267014                -0.012720510808769635    -0.3400993120287973      -0.7916389788160223      15.59861705542306
0.785355                  0.535355                 0                        -2.6842642922357E-6      -2.517557552982877E-6    -2.5277509227144385E-5   15.935558209908308
0.8                       0.5                      0                        0                        0                        0                        15.940579339158651
0.610783                  0.199143                 0                        0                        0                        0                        16.840570140145157
0.665702                  0.287301                 0                        0                        0                        0                        16.834941663361594
0.741715                  0.284173                 0                        0                        0                        0                        16.84782152488744
0.713418                  0.349812                 0.0379875                -0.04406189479832182     0.033236643759651976     -9.57876038492066E-5     16.823204481966044
0.756827                  0.366696                 0                        0                        0                        0                        16.813632863149714
0.72526                   0.331852                 0                        0                        0                        0                        16.832853845849698
0.783491                  0.50871                  0.0336976                -0.2675326001149126      -0.04012434547539599     -0.3638996280301015      16.300953191355543
0.784734                  0.333172                 0                        0                        0                        0                        16.85553505196878
0.807765                  0.393968                 0                        0                        0                        0                        16.83107598751785
0.807779                  0.438921                 0                        0                        0                        0                        16.728409707450805
1                         0                        0                        0                        0                        0                        16.886958637342197
0.72461                   0.206709                 0                        0                        0                        0                        16.85475130684462
0.917368                  0                        0.0932152                0                        0                        0                        16.889371153689435
0.916774                  0.0917553                0                        0                        0                        0                        16.887990902489634
0.875                     0                        0                        0                        0                        0                        16.88885670527677
0.811714                  0.110214                 0                        0                        0                        0                        16.87547721754178
0.821526                  0.250439                 0                        0                        0                        0                        16.877556678591628
0.908806                  0.191668                 0                        0                        0                        0                        16.897244670116237
