10968 7
0 1760
686 8336 8310 
716 8334 8336 
408 8310 8334 
8336 8334 8310 
681 8337 8306 
734 8338 8337 
685 8306 8338 
8337 8338 8306 
420 8339 8341 
738 8340 8339 
739 8341 8340 
8339 8340 8341 
433 8278 8342 
420 8341 8278 
739 8342 8341 
8278 8341 8342 
433 8342 8282 
739 8343 8342 
435 8282 8343 
8342 8343 8282 
739 8340 8345 
738 8344 8340 
740 8345 8344 
8340 8344 8345 
739 8345 8347 
740 8346 8345 
741 8347 8346 
8345 8346 8347 
435 8343 8348 
739 8347 8343 
741 8348 8347 
8343 8347 8348 
435 8348 8285 
741 8349 8348 
427 8285 8349 
8348 8349 8285 
681 8350 8337 
742 8351 8350 
734 8337 8351 
8350 8351 8337 
741 8346 8353 
740 8352 8346 
743 8353 8352 
8346 8352 8353 
741 8353 8355 
743 8354 8353 
751 8355 8354 
8353 8354 8355 
427 8349 8356 
741 8355 8349 
751 8356 8355 
8349 8355 8356 
751 8354 8358 
743 8357 8354 
742 8358 8357 
8354 8357 8358 
432 8273 8359 
427 8356 8273 
751 8359 8356 
8273 8356 8359 
751 8358 8360 
742 8350 8358 
681 8360 8350 
8358 8350 8360 
751 8360 8359 
681 8302 8360 
432 8359 8302 
8360 8302 8359 
743 8361 8357 
828 8362 8361 
742 8357 8362 
8361 8362 8357 
740 8363 8352 
829 8364 8363 
743 8352 8364 
8363 8364 8352 
743 8364 8361 
829 8365 8364 
828 8361 8365 
8364 8365 8361 
738 8366 8344 
830 8367 8366 
740 8344 8367 
8366 8367 8344 
740 8367 8363 
830 8368 8367 
829 8363 8368 
8367 8368 8363 
541 8369 8314 
906 8370 8369 
698 8314 8370 
8369 8370 8314 
541 8292 8369 
542 8371 8292 
906 8369 8371 
8292 8371 8369 
542 8317 8371 
699 8372 8317 
906 8371 8372 
8317 8372 8371 
698 8370 8374 
906 8373 8370 
923 8374 8373 
8370 8373 8374 
704 8320 8376 
687 8375 8320 
1038 8376 8375 
8320 8375 8376 
685 8338 8378 
734 8377 8338 
1092 8378 8377 
8338 8377 8378 
715 8331 8379 
685 8378 8331 
1092 8379 8378 
8331 8378 8379 
734 8380 8377 
1093 8381 8380 
1092 8377 8381 
8380 8381 8377 
742 8362 8383 
828 8382 8362 
1096 8383 8382 
8362 8382 8383 
742 8383 8351 
1096 8384 8383 
734 8351 8384 
8383 8384 8351 
734 8384 8380 
1096 8385 8384 
1093 8380 8385 
8384 8385 8380 
715 8386 8333 
1097 8387 8386 
686 8333 8387 
8386 8387 8333 
716 8336 8388 
686 8387 8336 
1097 8388 8387 
8336 8387 8388 
1098 8389 8390 
1038 8375 8389 
687 8390 8375 
8389 8375 8390 
716 8391 8335 
1098 8390 8391 
687 8335 8390 
8391 8390 8335 
1098 8392 8389 
1099 8393 8392 
1038 8389 8393 
8392 8393 8389 
1098 8391 8395 
716 8394 8391 
1100 8395 8394 
8391 8394 8395 
1097 8396 8388 
1100 8394 8396 
716 8388 8394 
8396 8394 8388 
1099 8392 8398 
1098 8397 8392 
1101 8398 8397 
8392 8397 8398 
